사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Sep.19,3호선,323,약수,91,0,6256,1026,10867,5679,28450,16312,42134,34625,29876,24231,21190,16865,20138,15763,21729,16349,22977,18441,21313,18719,21726,20468,24347,24687,27100,30387,34768,42613,21269,32106,16815,20365,16174,19680,13535,18584,5834,11839,915,4414,6,701,0,0,0,0
Sep.19,3호선,324,금호,48,5,4657,563,10331,2718,28919,4639,40210,8626,25811,7291,16877,7057,14222,7188,13011,8962,12949,10086,11135,11134,11121,14014,11300,16642,12633,20899,12641,30518,8636,24300,6279,16879,5104,15326,3877,14321,1777,8671,371,2588,2,22,0,0,0,0
Sep.19,3호선,325,옥수,212,8,3406,939,9523,4439,25974,8105,36613,16322,24292,12186,17197,9243,15870,10218,14979,11944,16186,13176,14582,14649,14684,17247,16240,19816,17752,24757,19249,34582,12725,28509,9687,19776,8269,18250,6179,17960,2884,10055,558,2739,4,22,0,0,0,0
Sep.19,3호선,326,압구정,55,1,3429,2189,8608,21913,17499,49120,30325,146171,22537,149164,26459,77115,33259,67332,40519,52758,46990,60573,55077,54289,62638,51777,70093,51977,85076,59227,138525,69702,100914,44451,78953,20989,58546,15965,45168,13509,20450,7695,2275,3085,9,362,0,12,0,0
Sep.19,3호선,327,신사,91,7,4029,1452,6556,17597,12669,40066,20699,111677,17911,128446,19268,70604,25507,55202,32331,56477,38784,60689,46774,58997,54989,56556,65075,55543,83737,62326,136498,82639,102366,55084,69747,24443,73908,17632,63834,13608,28110,9132,3866,3403,20,27,0,0,0,0
Sep.19,3호선,328,잠원,1,0,1534,641,6238,5044,18482,7707,26732,10768,16125,7487,10862,5853,10675,5744,10345,7592,10191,8383,8690,8713,9028,9889,10693,11229,11623,13843,12659,19508,7715,15561,5038,10480,4605,9909,3593,11902,1299,6313,178,1920,2,14,0,0,0,0
Sep.19,3호선,329,고속터미널,151,1,7516,4543,8026,38881,27787,59259,51223,90233,58680,108446,62258,104016,77450,121437,93449,116638,107867,118093,117301,124385,133383,131113,147366,131491,167451,139411,165037,153379,149741,104989,166838,63607,121784,47560,83428,36262,34929,19373,4213,3510,81,55,0,1,0,0
Sep.19,3호선,330,교대(법원.검찰청),23,1,1267,607,3181,5954,8711,24511,13263,49991,11073,33948,12184,19117,15982,12328,18021,12260,22461,12455,25558,11688,26481,10915,29297,11557,41379,16836,67312,23126,34112,12900,31272,6774,32959,4998,33529,4803,9870,2930,1483,1040,9,13,0,0,0,0
Sep.19,3호선,331,남부터미널(예술의전당),67,0,2994,1250,8636,27930,29644,57720,47469,177584,42023,85491,40486,56559,46463,45398,48046,48113,51820,55169,53192,56297,58476,57161,70760,60917,96640,64979,155856,74618,78334,55079,59044,32233,52487,25216,39487,20164,14256,11103,1808,3154,6,34,0,0,0,0
Sep.19,3호선,332,양재(서초구청),95,1,6092,2807,14665,37800,36608,100491,49305,248572,37073,129285,33455,63106,37580,55855,43181,50125,52672,56422,55821,49848,64234,48441,77796,50551,115560,66183,202069,82626,99976,60274,69134,36467,66690,31673,48902,28639,17393,16507,1888,5271,4,99,0,0,0,0
Sep.19,3호선,333,매봉,28,0,1559,587,6211,9636,16091,18925,20442,68228,15083,31283,12375,13877,12694,13114,12778,11881,14355,12278,15872,11849,17673,12151,19903,12808,28965,16518,58480,20806,22654,16613,15093,9988,15512,8672,10840,9249,3852,5440,418,1654,1,77,0,0,0,0
Sep.19,3호선,334,도곡,38,0,930,257,3564,3596,10300,12058,13338,22180,8542,18193,6843,7838,7010,8192,7195,7534,8100,7818,8220,6853,9766,7123,12460,8168,16042,9144,18926,10814,10534,10167,6843,6104,6821,5395,4684,5429,1623,3064,198,1980,2,439,0,0,0,0
Sep.19,3호선,335,대치,17,0,2752,771,11843,7321,29480,20305,29763,28807,18838,19054,14337,14207,14357,13199,17412,18456,18551,22356,15927,18398,18528,19932,20106,28738,30306,32805,29741,30887,21387,26530,14708,14932,21006,14146,39253,14794,4767,8444,617,2908,2,33,0,0,0,0
Sep.19,3호선,336,학여울,1,0,441,272,1648,1484,4156,3423,4965,7522,3431,6306,2620,4971,3570,4525,4302,4928,4655,5804,4833,5430,5747,4626,6815,3965,8003,3755,8382,4176,3187,3768,1969,2463,1933,2386,1539,2186,347,1522,46,554,0,7,0,0,0,0
Sep.19,3호선,337,대청,24,1,3790,1262,10381,6445,29678,16485,34756,25134,20066,11055,15551,8440,14821,8306,14277,9476,15498,11019,13855,11119,15570,14822,22967,15756,21437,19158,26805,24491,12560,24510,9147,16170,8224,14833,6125,16523,2081,9692,300,3376,2,30,0,0,0,0
Sep.19,3호선,338,일원,15,0,1995,1401,7898,8073,24199,26434,23785,26450,16916,19115,16493,18262,17775,14049,18036,15497,16672,17961,17379,15600,20751,14750,26374,13935,29768,16283,17821,20988,10636,18703,8249,11585,6141,11427,3815,11931,1444,5871,181,1880,0,19,0,0,0,0
Sep.19,3호선,339,수서,190,0,4757,2061,12871,15571,38402,32082,47434,53178,33092,31959,32562,22490,25967,19144,31041,24580,30630,23715,23062,23949,33122,29030,38076,31908,40983,38130,53398,49585,26149,41366,23841,29243,16559,24570,16487,25347,8590,10935,1071,4727,106,325,0,0,0,0
Sep.19,3호선,340,가락시장,9,0,2687,588,7219,4945,22888,9716,25723,30404,18738,15450,15458,11630,15548,12285,15559,12625,15628,13404,15137,14301,15870,16377,17424,17380,19367,19900,30104,26735,13370,21578,10433,13975,9597,12402,7167,12247,3052,7371,352,2359,0,74,0,1,0,0
Sep.19,3호선,341,경찰병원,14,1,2400,274,7136,2868,23912,7409,28146,30309,16980,15260,12360,9638,11953,7244,10384,8657,11476,10353,10789,9783,11068,10377,11286,11317,15545,14718,21155,21042,8193,18570,6067,11692,5658,10657,3687,10189,1344,6943,169,2040,1,36,0,0,0,0
Sep.19,3호선,342,오금,13,0,3361,5,7824,1939,28174,5616,33411,14190,17179,6413,10574,5685,8907,4628,9026,5288,9214,6753,7530,7101,7271,8427,9263,10411,11065,13552,13529,20621,6366,17654,4312,12028,3856,10912,3768,12563,1172,7468,120,2248,1,44,0,0,0,0
Sep.19,4호선,409,당고개,49,1,8922,28,17852,7438,54316,10731,52519,15127,34813,13295,24712,13408,21892,12327,21658,13893,21216,14944,18686,16344,18077,19417,19168,23386,20856,28361,19007,37400,13313,38421,8519,26324,6732,24059,4855,23342,2390,16829,387,5541,5,619,0,9,0,0
Sep.19,4호선,410,상계,96,5,13431,198,36175,8182,97052,18593,87722,21418,49960,17065,34952,15677,30823,15521,31301,19271,30181,20840,24839,23449,25051,27462,28967,34349,26988,45352,27385,63828,17872,65055,12744,40085,12591,36613,13061,35482,4487,27311,782,8543,11,1033,0,2,0,0
Sep.19,4호선,411,노원,104,0,12397,620,26295,9654,58666,16903,63360,32490,37961,35144,30794,26740,29676,25254,31950,29188,32245,33083,30382,34860,31571,38274,37119,45318,38003,58369,40327,86794,30055,79019,30226,46500,28468,40905,28145,37120,13463,27546,2516,9624,37,526,0,1,0,0
Sep.19,4호선,412,창동,2085,40,16920,3119,38394,12425,106738,22298,92386,46649,60239,38780,46907,35424,45895,31866,46599,36695,44877,42682,40940,46654,42717,51957,48586,60885,50241,70578,54528,100759,31762,95822,24468,61108,23186,52454,19588,49901,9763,34800,1583,13152,18,99,0,0,0,0
Sep.19,4호선,413,쌍문,68,16,22777,1078,52809,10069,136362,16195,144384,30649,86798,23232,59625,20795,50243,22977,49279,26865,46343,30597,39683,34552,37786,42885,40199,54701,43109,68002,40464,103951,28232,105729,19450,68057,16270,59866,12398,60835,6047,40318,962,14213,5,122,0,0,0,0
Sep.19,4호선,414,수유(강북구청),71,6,20342,3571,46284,12822,125814,22585,141542,59269,88477,44170,62239,36935,56084,36737,60370,38840,57430,43321,52148,49279,52786,56708,56622,70195,61930,83419,70974,129131,46546,123406,34378,79537,30275,70485,24750,70123,14229,46515,2285,13187,41,117,0,0,0,0
Sep.19,4호선,415,미아(서울사이버대학),41,2,10214,1598,21906,5216,54662,19375,60653,39976,38323,20376,27401,17382,25969,20542,27652,19698,26478,20916,25400,22581,25676,25095,27722,30763,32187,34203,32427,48909,20095,43715,14687,27936,11718,26200,11346,24336,3673,15894,531,4540,9,40,0,0,0,0
Sep.19,4호선,416,미아사거리,48,5,14244,2415,36321,9306,99489,22329,110735,35007,66454,36119,47091,29547,43937,30739,46004,35337,45651,37986,42537,41350,45871,49716,50569,56513,49571,70380,50345,105285,38012,93459,36628,54642,22769,50430,18108,48031,9488,29853,1659,7193,17,97,0,1,0,0
Sep.19,4호선,417,길음,44,3,9483,1900,29698,8751,89678,15869,94610,42188,53685,35144,35586,28352,31759,31417,34248,27940,33739,31115,31287,31292,35956,33331,40056,39387,45555,48869,46048,74598,26762,66158,19122,42083,15181,39187,15097,41149,6857,27185,1081,6221,17,62,0,0,0,0
Sep.19,4호선,418,성신여대입구(돈암),59,5,5540,1763,18047,7330,51367,19311,62512,49951,41988,31746,32444,27415,32768,37214,37788,30211,38201,33652,38345,37393,42884,36673,47575,42459,53559,51793,60227,74662,40315,63346,34852,40034,36016,35699,33821,36261,17449,25093,2506,6363,17,59,1,2,0,0
Sep.19,4호선,419,한성대입구(삼선교),60,10,7288,1334,13805,7609,35278,21381,44294,40728,30396,28078,22768,21782,22716,23891,25909,22397,27639,24952,26554,23646,29873,23965,38412,28455,36779,34156,38141,41868,24581,35474,21120,22835,19798,20371,16888,21852,7897,14278,1338,8255,13,1032,0,45,0,0
Sep.19,4호선,420,혜화,25,0,4198,2209,7924,19786,18441,50517,25588,132369,28110,94105,33765,72018,40143,72379,47420,79350,51709,98063,61126,88491,83184,73419,98517,71941,114472,84570,137984,101333,86865,77018,85596,30226,104858,25016,102936,22852,42961,14823,5889,5890,36,178,0,0,0,0
Sep.19,4호선,421,동대문,302,1,7597,2786,4414,13102,6007,37739,8908,79842,14041,71751,20432,62055,29226,56089,37083,48127,44452,50875,53776,45914,61348,40349,67006,32575,88367,26892,85192,23373,44692,27818,31408,19789,27764,13298,25811,10075,15372,8149,2019,2475,6,45,0,0,0,0
Sep.19,4호선,422,동대문역사문화공원,237,11,9524,1477,6070,12889,8931,27541,12937,79651,15268,45925,16978,33767,19979,31257,25389,30919,28174,32414,34101,30941,41141,29433,46162,27747,61601,29391,92219,33979,56604,45048,43345,26200,41547,19588,39061,15225,23997,10207,4340,3447,27,40,0,0,0,0
Sep.19,4호선,423,충무로,84,6,3762,2777,5053,18621,11428,50835,17451,196302,21572,112631,23922,68116,28262,54540,32844,52159,41285,52163,48879,45993,56246,39203,68803,39088,96448,44836,161404,49800,87180,32930,61925,18609,61995,17349,49717,16726,29563,12163,6214,3915,15,174,0,1,0,0
Sep.19,4호선,424,명동,40,0,1523,1206,3455,15294,6088,50316,13434,135415,27057,97214,34075,67332,40299,75153,42851,85465,49512,84236,59765,78417,75454,80957,88075,79797,103313,87254,145075,80700,97434,59995,87180,39344,92505,28123,86945,18060,36924,11017,2443,3557,29,160,0,0,0,0
Sep.19,4호선,425,회현(남대문시장),37,1,2449,881,3978,22717,6182,52375,10353,158465,15118,103991,21544,83267,32592,84717,42698,68921,55269,59480,67236,55949,73470,48292,81637,37277,117364,29770,128174,24828,62081,15392,62188,9017,27188,9704,16332,8405,6885,5750,835,1781,7,160,0,0,0,0
Sep.19,4호선,426,서울역,191,1,4725,914,6310,16017,12616,36294,18421,98618,15527,54062,14461,30400,16197,29527,17032,32169,17731,33749,17136,33520,19979,37324,23314,40847,38968,45381,75321,46122,28668,37613,19248,27653,17087,25942,13713,22272,6274,13156,796,4589,24,517,0,8,0,0
Sep.19,4호선,427,숙대입구(갈월),19,2,3161,670,8138,7332,18260,24188,29390,66787,21107,40814,18599,32594,20284,24502,22301,21016,24963,24400,25344,21484,29487,21137,42168,23464,44093,29722,62079,38871,32856,28350,26151,17906,25728,17315,20208,16868,9989,11418,1556,2920,10,28,1,0,0,0
Sep.19,4호선,428,삼각지,11,2,784,735,1887,4992,5809,10448,8290,26430,5908,11818,4267,8628,5136,8441,6135,8357,7243,8022,7137,7372,7517,7427,8947,7976,12184,9673,24392,13040,10182,9594,7573,6025,7029,5303,5419,5013,2550,3508,361,1320,1,56,0,2,0,0
Sep.19,4호선,429,신용산,3,0,1288,1642,4205,13591,11186,30618,16914,98982,14104,57681,13040,25441,15748,22492,16763,20524,20489,23194,20363,21413,25650,23262,33546,23488,48246,26041,89437,33148,43820,22385,31167,13622,27626,10766,19281,9083,9403,4938,1406,1272,11,15,0,0,0,0
Sep.19,4호선,430,이촌(국립중앙박물관),80,15,1300,901,4615,7202,14890,14905,20186,28283,14005,22046,10353,17023,12241,15030,15826,16354,15691,19997,15427,18115,19591,17661,24893,18327,27425,18521,29062,24478,14509,18496,10070,11130,9989,9446,6619,9180,2572,5176,269,1868,0,20,0,1,0,0
Sep.19,4호선,431,동작(현충원),48,2,545,219,1644,2351,5158,3540,6963,6961,5083,5446,3835,3872,4854,3232,4525,4046,3885,5173,4281,4470,5038,4768,5250,5070,5964,6037,7658,7815,4178,6114,3392,4890,3409,3493,2627,3127,1112,1931,211,908,10,119,0,0,0,0
Sep.19,4호선,432,총신대입구(이수),97,8,6768,1054,17947,9849,49541,19105,66660,42993,42521,36251,32010,27816,31845,26799,32617,29308,33950,33111,32540,35742,33023,39792,33470,46191,37330,58216,46726,83793,29230,62747,26212,34734,25818,31194,21286,29029,10759,17658,1500,5102,22,215,0,9,0,0
Sep.19,4호선,433,사당,124,8,10765,1019,24876,16240,70079,27511,94866,42439,68948,33883,48175,26818,40595,31387,42120,33863,43819,31472,42340,30290,39889,35167,41919,46523,50557,62823,56263,97666,40002,73751,35511,41861,38514,38421,35257,36853,18390,24806,2466,9218,23,1001,0,19,0,0
Sep.19,4호선,434,남태령,23,0,505,130,1022,1674,3187,4271,5092,5654,3721,1843,2484,1321,2313,1131,2555,1271,2432,1342,2240,1455,2300,1474,4330,1807,4351,1846,4320,2457,1970,2181,1186,1384,775,1376,423,1133,167,616,43,371,0,5,0,0,0,0
Sep.19,경부선,1001,서울역,5,1,66,279,99,1906,9238,3083,18919,4242,15109,3014,13088,1960,15437,1631,13392,1931,11737,1994,6052,1941,16807,2399,12932,3348,15243,4143,15238,5697,15525,3613,12705,2258,9799,2075,9721,1379,5205,401,1113,22,34,4,0,0,0,0
Sep.19,경부선,1002,남영,127,21,2917,1285,5136,7037,12926,23884,18591,70212,12312,36205,11008,20014,12220,15437,13609,13766,13862,13951,15151,12378,18276,13019,25668,13848,29087,17751,51651,23774,22147,16997,16294,11591,15954,10511,12702,10268,6031,6475,404,1495,1,1,0,0,0,0
Sep.19,경부선,1003,용산,466,5,4932,5833,6057,41730,23219,77701,33982,157323,40514,109037,35898,80548,50557,73343,51379,73144,64880,75093,62219,74372,87596,76465,98494,76249,120180,77084,160745,90896,105249,61642,101307,42252,92667,32755,61622,21446,26474,8134,2212,2711,19,20,0,0,0,0
Sep.19,경부선,1004,노량진,465,4,5373,2029,7816,7935,21238,17828,29993,29962,17729,16999,14128,12867,14237,12729,16243,15039,19492,16127,17663,14251,17556,15237,19801,18642,24003,24650,30704,40121,19249,26797,18320,16619,22657,15147,26272,13762,9118,9216,434,2168,0,0,0,0,0,0
Sep.19,경부선,1005,대방,559,9,6284,2757,11914,11347,34310,34335,45564,54580,27444,26893,20340,16081,19214,14021,20580,15099,21705,16676,19712,16371,20864,17827,22678,21729,32653,26386,47950,40796,20197,30198,14862,21444,14086,20673,13252,18745,3510,12406,181,3129,0,0,0,0,0,0
Sep.19,경부선,1006,영등포,3828,26,19898,7359,18114,28292,42690,65557,62550,135412,46446,99598,44880,81243,50831,90397,59458,98563,68121,106619,78913,98771,93309,95182,111741,96941,129401,106603,176691,141486,115564,98137,117011,51635,94141,43148,75004,35035,36602,19992,1345,5316,0,26,0,0,0,0
Sep.19,경부선,1007,신도림,462,7,2467,616,3933,2373,11549,7009,13532,15937,7249,6564,5178,5030,4860,4633,5371,5199,5571,5822,5324,5505,5589,6099,6187,7148,8702,9161,14641,14406,6903,10353,5371,6357,5130,5505,3824,4959,2322,3235,76,1692,3,4,0,0,0,0
Sep.19,경부선,1032,신길,675,8,11062,2401,11107,6044,24690,17037,34155,30159,20669,10736,14089,7284,12244,6954,13211,7946,12345,9198,10960,8850,11822,10444,15462,12774,18845,16471,32644,22730,13273,18177,8577,12597,8793,13621,5849,12589,2590,7801,180,2432,0,18,0,1,0,0
Sep.19,경부선,1701,구로,10895,35,24901,4906,19822,12066,41217,31825,42816,80382,30486,42371,26153,27991,25121,24323,26389,23637,26619,25350,25516,23387,27840,26398,31340,29581,44441,40314,70912,48089,31665,36422,21033,24004,17921,25055,13882,21714,6572,15775,165,15245,3,210,0,0,0,0
Sep.19,경부선,1702,가산디지털단지,1646,9,8296,2034,8108,11334,15689,45113,15455,157018,12925,72017,11617,23711,12350,18332,13936,17797,15515,18783,16021,17801,18268,18834,22915,19785,52074,24108,113904,29294,48589,23800,30091,13762,25942,13558,17120,12092,7884,7325,216,1104,0,20,0,0,0,0
Sep.19,경부선,1703,금천구청,817,3,10925,1627,19843,5785,50956,15480,46456,29106,28453,13075,20463,10372,18261,11468,18634,13346,17338,14178,14862,16248,15099,18759,16419,22649,19196,27753,27264,42444,13104,37374,9139,21910,7872,20348,6292,18086,2359,11919,87,1172,1,18,0,0,0,0
Sep.19,경부선,1704,석수,526,5,7895,2767,18149,6904,44928,15053,47420,20249,28430,13069,18856,10799,16545,8629,15996,9809,14844,10370,13755,11837,15616,13671,17480,17901,21534,23227,22834,36678,13831,32289,9251,19690,7731,20827,5573,18299,2323,12350,67,1170,0,7,0,0,0,0
Sep.19,경부선,1705,관악,247,3,6902,1833,12999,3823,36675,6643,34503,11498,18863,11642,13147,11730,11485,9116,13768,8741,13298,8677,11111,9071,10522,10771,12512,13552,14020,17106,12611,29588,7960,24659,5617,16001,5539,15271,3518,13542,1388,9838,77,1111,0,1,0,0,0,0
Sep.19,경부선,1706,안양,335,14,14676,3208,33052,11313,88332,21109,80997,60185,47799,64585,35644,40207,34545,38585,41579,40913,41847,44807,39030,41708,47668,41561,64051,49876,67307,62254,50611,95765,36032,78746,34085,44381,37499,39630,32996,35384,15675,23892,582,3890,1,0,0,0,0,0
Sep.19,경부선,1707,명학,177,2,6837,2088,10342,8851,27599,22481,25533,62719,14164,15569,10856,11885,10699,16257,11948,9702,11231,11410,12993,11989,13168,9359,17828,11949,29649,15551,39849,21754,15669,20109,13659,12100,11231,11531,7093,10224,3081,7913,117,1187,0,0,0,0,0,0
Sep.19,경부선,1708,금정,384,5,23113,8182,33275,20006,87289,41479,89160,80483,55817,30314,41045,22605,35258,23018,36608,25102,34247,26646,29732,30913,31184,35538,36988,42862,53072,59674,70633,87545,35320,74278,27492,48172,25397,46916,19938,41708,9482,30725,1124,11399,5,766,0,0,0,0
Sep.19,경부선,1709,군포,138,0,5318,2318,8721,6910,20419,25930,18492,46302,11895,8613,9534,5594,8623,5419,9162,5747,8269,6269,7345,6313,7817,7938,9625,9549,19253,11677,34062,15989,13339,14280,10916,8963,8161,8363,4378,6749,1657,4743,91,784,0,0,0,0,0,0
Sep.19,경부선,1710,의왕,96,1,6659,2650,12398,8425,30031,25899,32329,29140,16727,10462,12470,8298,11936,6820,12264,8024,11836,9514,11115,9327,12145,10990,15146,14432,26082,18725,25642,25441,13325,23226,9061,15799,7358,15164,4542,12788,2227,9392,147,1939,0,0,0,0,0,0
Sep.19,경부선,1711,성균관대,167,2,8223,1962,26960,5967,68737,10509,58725,32542,29925,18432,22702,16843,20808,13910,21571,14757,22085,18862,18976,19210,21360,20828,26223,27128,29772,35275,29985,55908,18403,53675,14864,35084,14389,30766,13288,29282,6485,19407,332,5035,0,0,0,0,0,0
Sep.19,경부선,1712,화서,399,4,7222,1989,19690,4515,42507,7007,34572,13241,18262,7275,13891,6556,11804,6578,11407,8007,10451,9185,8804,9690,9477,11708,11161,14688,13126,20416,11761,31359,7298,30472,5535,18266,4797,15361,3992,14307,1522,9089,81,2584,0,0,0,0,0,0
Sep.19,경부선,1713,수원,2440,31,21858,6087,38398,33084,80389,60825,89375,99341,63370,91062,57149,75102,60502,79211,66234,86760,69301,87298,70518,83111,84577,88304,108603,107083,117995,120141,117346,135037,100082,126878,98058,71026,79217,59424,71201,49501,28492,31249,1126,10054,3,4,0,0,0,0
Sep.19,경부선,1714,독산,631,1,7090,2455,17968,12442,43241,36084,42120,98035,25776,42545,20121,17355,18996,13267,20322,14129,19219,15132,17501,16650,19154,19125,23352,22205,45493,27646,73089,39889,32176,37857,18239,22779,14559,22820,9454,20828,3463,12773,166,1007,0,5,0,0,0,0
Sep.19,경부선,1715,세류,412,3,3189,787,7528,2838,16556,4980,12586,5565,7456,4137,7164,3865,5950,4265,5580,4637,5127,4384,4829,4790,5308,5376,6381,6948,8209,9119,7506,12037,4834,11919,3842,8803,3264,6734,2311,5925,702,3935,31,1361,0,0,0,0,0,0
Sep.19,경부선,1716,병점,3066,10,7504,4255,24979,11065,52523,20488,47871,34858,33036,26465,26169,20301,25116,15433,26363,22140,24440,19109,24587,20912,27278,23828,33345,29709,40410,39695,41811,46747,23890,48545,16495,34192,15138,31149,11097,27878,3477,18186,47,9567,0,16,0,0,0,0
Sep.19,경부선,1717,세마,283,2,2029,507,5706,1534,10519,3897,10336,6233,7288,2411,5184,2150,4341,2303,4894,2561,4321,2978,3827,3438,4092,3975,4948,4759,6068,7504,6611,8822,3383,7857,2122,7011,2007,5659,1201,4537,471,3505,18,237,0,2,0,0,0,0
Sep.19,경부선,1718,오산대,246,1,2252,772,4230,2013,10860,4224,8540,10323,6169,10972,5063,6821,4440,4533,5315,4579,5116,4575,5131,3881,7530,4433,10542,5234,9382,7513,8515,9036,3890,7700,3069,5966,3016,4812,2000,4158,933,3359,41,201,0,0,0,0,0,0
Sep.19,경부선,1719,오산,445,6,5777,1574,13573,9124,25359,18132,26703,21306,20914,15789,19415,11753,18735,11696,19363,14254,18193,14248,16895,14958,18984,17805,21810,22534,27161,25732,27881,26561,15467,31285,13754,19124,10457,17570,7648,15694,3061,8968,122,685,0,5,0,0,0,0
Sep.19,경부선,1720,진위,43,0,702,189,1892,2223,3983,6915,3356,7882,2859,1704,2222,1243,2051,1235,2297,1323,2143,1652,2120,1373,2548,2030,4110,2309,5985,2963,8767,2964,3111,2769,1959,2348,1221,2015,623,1778,263,981,16,80,0,0,0,0,0,0
Sep.19,경부선,1721,송탄,158,0,5831,785,7901,3710,13446,5845,12903,9429,11287,5743,9004,4344,8917,5073,9455,5878,8821,7202,8066,7010,8587,8786,11392,10255,10636,12784,10260,15055,7152,12830,5039,13323,4137,10267,2524,7660,1150,7776,45,799,0,5,0,0,0,0
Sep.19,경부선,1722,서정리,83,2,2909,6073,6930,4993,11641,9940,12778,17663,9153,9571,9606,6877,8639,6331,10091,7153,9458,8061,8666,7008,11117,9248,14730,10576,21001,11876,15635,12129,9687,13760,6529,9557,4932,9171,2561,8314,1131,5758,13,1169,0,2,0,0,0,0
Sep.19,경부선,1723,지제,4,1,956,2188,2419,4409,6790,8656,5896,7205,4336,3867,3251,2134,3300,2762,4342,3120,3398,3232,3494,2785,5006,4075,5557,4704,10214,4900,8615,6627,5908,5434,3441,4378,3466,3791,2368,2880,898,1623,8,367,0,0,0,0,0,0
Sep.19,경부선,1724,평택,223,1,7630,2635,15242,9107,31980,17898,34765,24440,27178,21473,26825,21715,22224,21663,23732,22703,23981,26663,23698,23912,26203,28895,30696,33505,34885,42296,33442,43041,24157,30993,24862,24128,17050,21482,13358,16993,6294,9599,242,1792,1,0,0,0,0,0
Sep.19,경부선,1725,성환,57,0,1981,655,3086,3019,7038,9980,8171,20170,6452,23907,6846,10679,6964,6788,9743,9202,9790,8119,9852,5450,14915,6069,22665,7758,20081,8254,15513,8872,7591,8967,6334,7720,4494,6751,2585,5518,1087,4397,105,766,0,0,0,0,0,0
Sep.19,경부선,1726,직산,113,0,601,232,1465,931,2156,3015,1918,3025,1907,1919,1669,1180,1586,1328,1369,1294,1559,1354,1579,1293,1973,1364,1536,1928,2565,1833,3196,2659,1425,2139,957,1487,1126,1286,417,1087,166,832,15,382,0,0,0,0,0,0
Sep.19,경부선,1727,두정,1303,2,3821,886,8266,2669,13799,8513,12980,21334,10398,20890,9032,15129,8940,13022,10927,11196,9092,7719,11152,9729,12764,8667,14643,11573,16670,14206,18012,16887,11481,13609,8853,12386,7518,11404,5426,8631,2189,6748,189,2647,0,0,0,0,0,0
Sep.19,경부선,1728,천안,2181,8,2579,853,5739,3529,11155,8499,11372,14286,12647,16385,11876,15695,13410,16928,13541,15193,13500,12513,19156,16415,21769,13936,26291,15986,23258,17194,20852,18362,14076,13296,11339,10756,8699,7460,5964,7249,3020,4306,492,2453,0,2,0,0,0,0
Sep.19,경부선,1729,당정,56,1,3751,1085,10380,3103,28911,9629,25061,20087,14523,12346,10755,7867,9657,5946,10821,8464,10223,7674,9603,7483,10902,8425,12794,10964,16305,14608,17228,20789,8485,20193,6392,13639,5333,13435,4346,12602,1888,8851,128,1541,0,0,0,0,0,0
Sep.19,경부선,1749,서동탄,4,0,1481,1,4836,565,12417,1531,5770,2182,3271,992,2697,902,2574,1374,2413,1479,2251,1800,2011,1994,2246,2208,2379,2978,2835,3882,2757,5526,1598,6297,1056,3648,908,2771,570,2265,115,2683,2,1052,0,0,0,0,0,0
Sep.19,경부선,1750,광명,0,0,60,2312,2161,2943,15510,3549,6698,3277,7149,3830,3640,3325,3859,3074,4402,3673,3929,130,3856,6309,4575,220,10039,6420,4289,4753,12389,12570,4885,12180,4873,3949,2659,97,2253,3319,13,5,2,0,0,0,0,0,0,0
Sep.19,경인선,1801,개봉,1457,10,18406,5407,36637,12015,99303,17491,96868,26436,59240,21637,43239,19302,36662,21288,37944,26859,36238,25180,31230,32007,30278,37651,33339,47761,35823,62604,35678,90920,22805,80122,16911,52024,15770,46192,11082,41751,5382,25685,210,3439,2,7,0,0,0,0
Sep.19,경인선,1802,오류동,796,6,11389,2009,17815,5436,53043,6855,52820,13367,30860,11420,22360,12181,19651,10480,21940,14059,20046,16113,16664,17364,17619,19369,18777,23254,19935,26976,18888,43020,11322,39839,8816,25107,6962,22823,5335,20596,2514,15102,147,2882,1,18,0,0,0,0
Sep.19,경인선,1803,역곡,1004,20,26007,3344,45652,11854,132450,15478,130220,40380,72918,45105,49631,30714,43388,33945,44564,33340,42462,38790,37168,37510,41119,44127,46847,53996,51380,72515,50530,115594,33089,105478,25305,65673,23421,58996,20283,56133,10368,36207,841,7314,2,76,0,0,0,0
Sep.19,경인선,1804,부천,2555,17,34648,5510,44908,14961,114494,22971,118399,62120,73355,49465,57351,47656,56952,48644,60149,58321,60414,64965,57323,60384,62436,66088,70726,75600,73621,97190,72729,136310,53680,125977,45196,74877,44714,63430,39869,55391,20655,39000,1805,8037,8,121,0,0,0,0
