사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Sep.19,2호선,208,왕십리(성동구청),833,7,7856,987,10880,6378,29157,13466,53115,30254,33730,21539,22788,16712,23028,17307,26511,19218,28025,22043,26740,20711,28890,23881,38229,27740,42381,36998,47545,59854,31674,44177,28986,26885,32227,24132,33421,23779,22824,16489,4351,6455,21,110,0,0,0,0
Sep.19,2호선,209,한양대,6,1,1290,401,2585,6297,5789,14489,9414,69865,7739,65206,8270,53855,11911,19237,15744,32844,17233,24970,22647,21707,30536,14910,43246,13447,51861,18288,41167,25282,21378,14426,18998,8924,25322,7455,18777,6886,8523,4553,1956,1429,10,17,1,2,0,0
Sep.19,2호선,210,뚝섬,27,0,4420,1835,9286,14208,23182,29104,32321,118098,20457,64496,16258,27698,17039,22523,19834,24735,23683,26445,24498,25329,28237,26372,35085,28840,45841,32780,102071,47346,52509,30189,29906,16806,31170,14982,19080,14951,7890,9805,1215,3447,8,93,0,0,0,0
Sep.19,2호선,211,성수,55,2,5472,3707,10112,26911,25779,62643,33121,244205,26707,97569,22992,38645,23944,31645,27426,31256,31913,35157,34985,33200,38950,34806,45749,35997,79217,40483,181509,49416,80497,36528,45479,20830,43541,17898,32411,16609,14022,12094,2087,6747,14,1137,0,15,0,0
Sep.19,2호선,212,건대입구,433,4,18668,2092,24730,17121,59545,26428,101975,72552,70030,53107,44678,51587,41796,52644,49237,63354,55781,69066,57108,69766,62207,75622,70425,89860,84058,120601,98254,181542,79015,142156,78379,82226,89295,73069,90364,67847,57249,41538,9769,14101,149,1213,0,16,0,0
Sep.19,2호선,213,구의(광진구청),27,0,13231,1263,25808,9835,69732,15556,116873,38248,69120,24582,37495,21252,31865,20439,33140,23177,32885,25953,29819,28084,28621,35090,31728,40547,35634,53049,43919,84524,25075,70025,19652,45874,18232,44955,16335,44445,9476,26312,1686,8503,18,155,1,8,0,0
Sep.19,2호선,214,강변(동서울터미널),44,2,8818,3340,28406,33472,89408,37060,134288,58909,103404,56770,82585,54248,77072,51995,73816,57788,71796,68217,67450,74210,68788,83224,74296,94555,81061,105017,90893,142717,74329,112268,62496,77312,50303,67180,36249,62639,14725,33023,2300,8349,53,165,0,12,0,0
Sep.19,2호선,215,잠실나루,6,0,3085,1632,11821,9838,41779,22169,52942,38661,32324,28523,25423,21446,25179,19235,24863,22778,23568,24210,24081,23270,26383,23005,29988,23383,35627,27919,34728,41319,19742,34420,14879,21376,11278,20377,7405,20488,3288,11744,572,3746,7,86,0,7,0,0
Sep.19,2호선,216,잠실(송파구청),70,10,12797,5474,47130,36074,118487,86945,175928,181558,131228,168820,90425,111108,89692,119642,97539,116703,109618,122789,114832,121625,130295,133335,150049,144320,190568,168555,251450,231891,175272,171037,168771,104510,150167,97949,114697,94077,37329,54469,4564,12396,62,361,0,24,0,0
Sep.19,2호선,217,잠실새내,37,1,5529,892,16974,7654,61884,16848,85367,27515,52001,31117,34687,25044,33413,26764,34188,30379,34156,35576,30650,37534,32217,41355,37125,48239,39037,62553,44047,91030,34431,71889,29657,42928,31366,37897,31010,36489,18961,19786,3186,6541,54,133,1,9,0,0
